"danhmuc_id","ten_san_pham","gia","so_luong_ton","anh"
"1","iPhone 16 Pro Max","36990000","2","img/iPhone/iphone16-pro-max.jpg"
"1","iPhone 16 Pro","33990000","3","img/iPhone/iphone16-pro.jpg"
"1","iPhone 16 Plus","27990000","4","img/iPhone/iphone16-plus.jpg"
"1","iPhone 16","24990000","5","img/iPhone/iphone16.jpg"
"1","iPhone 15 Pro Max","32990000","6","img/iPhone/iphone15-pro-max.jpg"
"1","iPhone 15 Pro","29990000","7","img/iPhone/iphone15-pro.jpg"
"1","iPhone 15 Plus","23990000","8","img/iPhone/iphone15-plus.jpg"
"1","iPhone 15","20990000","9","img/iPhone/iphone15.jpg"
"1","iPhone 14 Pro Max","27990000","10","img/iPhone/iphone14-pro-max.jpg"
"1","iPhone 14 Pro","25990000","11","img/iPhone/iphone14-pro.jpg"
"1","iPhone 14 Plus","21990000","12","img/iPhone/iphone14-plus.jpg"
"1","iPhone 14","18990000","13","img/iPhone/iphone14.jpg"
"1","iPhone 13 Pro Max","24990000","14","img/iPhone/iphone13-pro-max.jpg"
"1","iPhone 13 Pro","22990000","15","img/iPhone/iphone13-pro.jpg"
"1","iPhone 13","16990000","16","img/iPhone/iphone13.jpg"
"1","iPhone 13 Mini","15990000","17","img/iPhone/iphone13-mini.jpg"
"1","iPhone 12 Pro Max","21990000","18","img/iPhone/iphone12-pro-max.jpg"
"1","iPhone 12 Pro","19990000","19","img/iPhone/iphone12-pro.jpg"
"1","iPhone 12","14990000","20","img/iPhone/iphone12.jpg"
"1","iPhone 11","11990000","20","img/iPhone/iphone11.jpg"
"2","iPad Pro 13-inch M4","32990000","4","img/iPad/ipad-pro-13-m4.jpg"
"2","iPad Pro 11-inch M4","27990000","5","img/iPad/ipad-pro-11-m4.jpg"
"2","iPad Air 13-inch M2","22990000","6","img/iPad/ipad-air-13-m2.jpg"
"2","iPad Air 11-inch M2","19990000","7","img/iPad/ipad-air-11-m2.jpg"
"2","iPad 10th Gen 64GB","10990000","8","img/iPad/ipad-10-64gb.jpg"
"2","iPad 10th Gen 256GB","13990000","9","img/iPad/ipad-10-256gb.jpg"
"2","iPad 9th Gen 64GB","7990000","10","img/iPad/ipad-9-64gb.jpg"
"2","iPad 9th Gen 256GB","10990000","11","img/iPad/ipad-9-256gb.jpg"
"2","iPad Mini 6 64GB","12990000","12","img/iPad/ipad-mini-6-64gb.jpg"
"2","iPad Mini 6 256GB","15990000","13","img/iPad/ipad-mini-6-256gb.jpg"
"2","iPad Pro 12.9-inch M2","29990000","5","img/iPad/ipad-pro-12-m2.jpg"
"2","iPad Pro 11-inch M2","24990000","6","img/iPad/ipad-pro-11-m2.jpg"
"2","iPad Air 5 64GB","16990000","7","img/iPad/ipad-air-5-64gb.jpg"
"2","iPad Air 5 256GB","19990000","8","img/iPad/ipad-air-5-256gb.jpg"
"2","iPad 8th Gen 32GB","6990000","14","img/iPad/ipad-8-32gb.jpg"
"2","iPad 8th Gen 128GB","8990000","13","img/iPad/ipad-8-128gb.jpg"
"2","iPad Mini 5 64GB","9990000","15","img/iPad/ipad-mini-5-64gb.jpg"
"2","iPad Mini 5 256GB","12990000","14","img/iPad/ipad-mini-5-256gb.jpg"
"2","iPad 7th Gen 32GB","6490000","16","img/iPad/ipad-7-32gb.jpg"
"2","iPad 7th Gen 128GB","8490000","15","img/iPad/ipad-7-128gb.jpg"
"3","MacBook Air 13-inch M3","29990000","5","img/Mac/macbook-air-13-m3.jpg"
"3","MacBook Air 15-inch M3","33990000","4","img/Mac/macbook-air-15-m3.jpg"
"3","MacBook Pro 14-inch M3","39990000","3","img/Mac/macbook-pro-14-m3.jpg"
"3","MacBook Pro 16-inch M3","54990000","2","img/Mac/macbook-pro-16-m3.jpg"
"3","MacBook Air 13-inch M2","26990000","6","img/Mac/macbook-air-13-m2.jpg"
"3","MacBook Pro 14-inch M2","36990000","4","img/Mac/macbook-pro-14-m2.jpg"
"3","MacBook Pro 16-inch M2","49990000","3","img/Mac/macbook-pro-16-m2.jpg"
